Book Id,Title,Author l-f,My Rating,Publisher,Number of Pages,Original Publication Year,Date Added,Exclusive Shelf
220826,Kürk Mantolu Madonna,"Ali, Sabahattin",4,Yapı Kredi Yayınları,160,1943,2018/05/26,read
23550968,Efendi ile Uşağı,"Tolstoy, Leo",4,İş Bankası Kültür Yayınları,144,1895,2018/05/26,read
16120420,Böyle Buyurdu Zerdüşt,"Nietzsche, Friedrich",2,Kum Saati Yayınları,303,1883,2018/05/26,read
5470,1984,"Orwell, George",4,New American Library,328,1949,2018/05/26,read
13580479,Sineklerin Tanrısı,"Golding, William",4,Türkiye İş Bankası Kültür Yayınları,261,1954,2018/05/26,read
7174618,Hayvan Çiftliği: Bir Peri Masalı,"Orwell, George",4,Can Yayınları,152,1945,2018/05/26,read
7990630,Çavdar Tarlasında Çocuklar,"Salinger, J.D.",4,Yapı Kredi Yayınları,198,1951,2018/05/26,read
11451892,Küçük Prens,"Saint-Exupéry, Antoine de",5,Mavibulut Yayıncılık,95,1943,2018/05/26,read
6795650,Simyacı,"Coelho, Paulo",5,Can Yayınları,166,1988,2018/05/26,read
27839637,Olağanüstü Bir Gece,"Zweig, Stefan",3,Türkiye İş Bankası Kültür Yayınları,69,1922,2018/05/26,read
11533410,Yeraltından Notlar,"Dostoyevsky, Fyodor",3,Türkiye İş Bankası Kültür Yayınları,144,1864,2018/05/26,read
7332,The Silmarillion,"Tolkien, J.R.R.",3,Houghton Mifflin Company,386,1977,2018/05/26,read
13559959,Süpermen ve Uğur Böceği,"İzgören, Ahmet Şerif",3,Publisher Not Defined,191,2008,2018/07/03,read
31366288,Devlet,"Plato, Plato",3,Panama,512,-380,2018/07/05,currently-reading
20638501,Androidler Elektrikli Koyun Düşler mi?,"Dick, Philip K.",5,"Altıkırkbeş Yayınları ",290,1968,2020/10/26,read
59151,Chess Story,"Zweig, Stefan",3,NYRB Classics,104,1942,2018/05/26,read
9441390,Osmancık,"Buğra, Tarık",4,Ötüken Neşriyat,376,1982,2018/05/26,read
23264557,Bülbülü Öldürmek,"Lee, Harper",4,Sel Yayıncılık,357,1960,2018/05/26,read
9269274,Yabancı,"Camus, Albert",4,Can Yayınları,119,1942,2018/05/26,read
17801902,Sokrates'in Savunması,"Plato, Plato",5,Türkiye İş Bankası Kültür Yayınları,222,-399,2018/05/26,read
7117523,Sofie'nin Dünyası,"Gaarder, Jostein",3,Pan Yayıncılık,591,1991,2018/05/26,read
40144267,İbn Fadlan Seyahatnamesi,"Şeşen, Ramazan",4,Yeditepe Yayınevi,174,,2018/05/26,read
25111839,İvan İlyiç'in Ölümü,"Tolstoy, Leo",3,"Antik Kitap ",112,1886,2018/05/26,read
16154230,Hıdır Kişisel Gelişiyor,"İzgören, Ahmet Şerif",3,Elma Yayınevi,176,2010,2018/06/10,read
10291164,Hedef Türkiye,"Sinanoğlu, Oktay",2,Otopsi Yayınevi,330,2002,2018/06/10,read
68811,Momo,"Ende, Michael",5,Thienemann,304,1973,2018/06/23,read
25219497,Kumarbaz,"Dostoyevsky, Fyodor",3,Varlık Yayınları,152,1866,2018/06/24,read
12152914,Avcunuzdaki Kelebek,"İzgören, Ahmet Şerif",5,Elma Yayınevi,124,2004,2018/06/29,read
13449825,Açlık,"Hamsun, Knut",2,Varlık Yayınları,158,1890,2020/10/26,read
1844941,Kuyucaklı Yusuf,"Ali, Sabahattin",4,Yapı Kredi Yayınları,222,1937,2020/10/26,read
11667256,Genç Werther'in Acıları,"Goethe, Johann Wolfgang von",2,Can Yayınları,168,1774,2020/10/26,read
10369600,Beyaz Geceler,"Dostoyevsky, Fyodor",4,"Can Yayınları ",96,1848,2020/10/26,read
17447032,Yolda: Seçme Öyküler,"Kemal, Yaşar",4,Yapı Kredi Yayınları,112,2011,2020/10/26,read
6482590,Dokuzuncu Hariciye Koğuşu,"Safa, Peyami",4,Ötüken Neşriyat,112,1930,2020/10/26,read
12675652,Bir Yufka Yürekli,"Dostoyevsky, Fyodor",3,Varlık Yayınları,80,1848,2020/10/26,read
6849797,Kırmızı Pazartesi,"Márquez, Gabriel García",3,Can Yayınları,107,1981,2020/10/26,read
22924181,Bilinmeyen Adanın Öyküsü,"Saramago, José",4,Kırmızı Kedi Yayınevi,59,1997,2020/10/26,read
13250030,Ölümsüz Aile,"Babbitt, Natalie",4,Türkiye İş Bankası Kültür Yayınları,107,1975,2020/10/26,read
23256064,Cesur Yeni Dünya,"Huxley, Aldous",4,İthaki Yayınları,266,1932,2020/10/26,read
15812978,Körlük,"Saramago, José",3,Can Yayınları,339,1995,2020/10/26,read
8889243,Martı - Jonathan Livingston,"Bach, Richard",5,Epsilon Yayınları,92,1970,2020/10/26,read
17794772,Hamlet,"Shakespeare, William",5,Türkiye İş Bankası Kültür Yayınları,192,1603,2020/10/26,read
9509724,Dönüşüm,"Kafka, Franz",4,Can Yayınları,102,1915,2020/10/26,read
13079982,Fahrenheit 451,"Bradbury, Ray",3,Simon & Schuster,194,1953,2020/10/26,read
11413921,Fareler ve İnsanlar,"Steinbeck, John",3,Remzi Kitabevi,95,1937,2020/10/26,read
28178722,Mesnevi'den Seçme Hikayeler,"Yılmaz, Mehmet Yalçın",0,Bordo siyah,96,,2020/10/26,read
52036,Siddhartha,"Hesse, Hermann",4,Bantam Books,152,1922,2020/10/26,read
26121554,Uyku,"Murakami, Haruki",5,Doğan Kitap,90,1987,2020/10/26,read
18375585,Otostopçunun Galaksi Rehberi | beşibiryerde,"Adams, Douglas",5,Kabalcı Yayınevi,709,1996,2018/05/26,read
11933062,Küçük Kara Balık,"Behrangi, Samad",5,Can Yayınları,60,1969,2018/05/26,read
9466534,Cumhuriyet Çocuğu,"İsmail, Hekimoğlu",5,,,,2018/05/26,read
11029733,İnsan Ne İle Yaşar?,"Tolstoy, Leo",5,Bilge Kültür Sanat,126,1885,2018/05/26,read
7253391,Şu Hortumlu Dünyada Fil Yalnız Bir Hayvandır,"İzgören, Ahmet Şerif",5,Elma,257,2002,2018/07/02,read
18486061,Kral Oidipus,"Sophocles, Sophocles",5,Türkiye İş Bankası Kültür Yayınları,80,-429,2018/06/29,read
968,"The Da Vinci Code (Robert Langdon, #2)","Brown, Dan",0,Anchor,489,2003,2018/05/28,to-read
15823480,Anna Karenina,"Tolstoy, Leo",0,Vintage,964,1877,2018/05/28,to-read
7389507,Savaş ve Barış,"Tolstoy, Leo",0,İletişim Yayınları,1437,1867,2018/05/26,read
